[2026-04-22T14:34:38.984+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7429, completion-tokens, 123, total-tokens, 7552, cost-ms, 7205, requestId, d99e589a-13cd-9174-a22d-f1e92238cf34, temperature, 0
[2026-04-22T14:52:07.054+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7429, completion-tokens, 135, total-tokens, 7564, cost-ms, 5240, requestId, a50cd071-a06d-9ec1-8dbc-cd57ae84dd26, temperature, 0
[2026-04-22T14:52:13.087+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7652, completion-tokens, 124, total-tokens, 7776, cost-ms, 3763, requestId, ab6113f6-14fb-918d-9f1d-f06aac5de777, temperature, 0
[2026-04-22T14:52:26.406+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7872, completion-tokens, 80, total-tokens, 7952, cost-ms, 11019, requestId, fe97027d-0e08-9120-a6f8-8cdb8df22ddd, temperature, 0
[2026-04-22T14:52:33.690+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 2433, completion-tokens, 108, total-tokens, 2541, cost-ms, 4039, requestId, 50050bc6-ffa6-9ea2-8a2f-91dfb6c72a30, temperature, 0
[2026-04-22T14:52:38.341+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7431, completion-tokens, 139, total-tokens, 7570, cost-ms, 4388, requestId, ff8aaded-29ae-9b34-bc97-29dbdcb6718f, temperature, 0
[2026-04-22T14:52:44.558+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7654, completion-tokens, 75, total-tokens, 7729, cost-ms, 3414, requestId, 58e069fc-a92d-9e89-8854-79d445ca4640, temperature, 0
[2026-04-22T14:52:51.479+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 2435, completion-tokens, 115, total-tokens, 2550, cost-ms, 3627, requestId, 5c1b9c51-1176-9ea3-b2a7-884f14e7397e, temperature, 0
[2026-04-22T14:54:36.586+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7429, completion-tokens, 127, total-tokens, 7556, cost-ms, 4355, requestId, dae0228c-2651-9d7a-bddf-37605a3e5f6d, temperature, 0
[2026-04-22T14:54:41.225+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7643, completion-tokens, 123, total-tokens, 7766, cost-ms, 3661, requestId, 682db787-c934-9a49-aa77-ac2a66c9e123, temperature, 0
[2026-04-22T14:54:46.829+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7864, completion-tokens, 121, total-tokens, 7985, cost-ms, 4129, requestId, 1142a9ab-44a9-93cd-a6f3-f774fd66b6ca, temperature, 0
[2026-04-22T14:54:53.352+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 8091, completion-tokens, 80, total-tokens, 8171, cost-ms, 3700, requestId, e2a15efe-ff01-9418-83e3-0929e2146760, temperature, 0
[2026-04-22T14:54:59.790+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 2433, completion-tokens, 111, total-tokens, 2544, cost-ms, 3186, requestId, 7c81d776-279b-9b77-9733-a727943719e3, temperature, 0
[2026-04-22T14:55:04.435+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7431, completion-tokens, 147, total-tokens, 7578, cost-ms, 4408, requestId, 5149ef74-f9a2-903d-8278-0b77d0f32e11, temperature, 0
[2026-04-22T14:55:10.390+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7662, completion-tokens, 96, total-tokens, 7758, cost-ms, 3145, requestId, 60576a6f-1079-9350-8d48-264663d4716a, temperature, 0
[2026-04-22T14:55:15.974+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 2436, completion-tokens, 65, total-tokens, 2501, cost-ms, 2300, requestId, 91480cb6-3d11-9927-98f6-f5c7355304ef, temperature, 0
[2026-04-22T14:55:49.573+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7429, completion-tokens, 129, total-tokens, 7558, cost-ms, 4445, requestId, 1aadfb13-a5d9-9984-a0c5-29c12584cd0a, temperature, 0
[2026-04-22T14:55:53.452+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7645, completion-tokens, 80, total-tokens, 7725, cost-ms, 2855, requestId, ad5b996a-fe82-9532-b5b9-0138a8d6b192, temperature, 0
[2026-04-22T14:56:00.497+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7823, completion-tokens, 124, total-tokens, 7947, cost-ms, 3840, requestId, 800d589b-4fb0-9468-a283-45bac053a72d, temperature, 0
[2026-04-22T14:56:06.469+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 8053, completion-tokens, 71, total-tokens, 8124, cost-ms, 3163, requestId, e6805366-eb8f-93db-ad2e-f0c5bef262b1, temperature, 0
[2026-04-22T14:56:14.048+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 2433, completion-tokens, 154, total-tokens, 2587, cost-ms, 4261, requestId, f0e4611c-b229-907b-aa58-21f395e9a046, temperature, 0
[2026-04-22T14:56:18.712+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7431, completion-tokens, 142, total-tokens, 7573, cost-ms, 4418, requestId, 4741507e-7c81-9402-84ee-21abed23b0dc, temperature, 0
[2026-04-22T14:56:25.672+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7657, completion-tokens, 92, total-tokens, 7749, cost-ms, 4143, requestId, caf36222-1b07-9c93-af96-ee289703f191, temperature, 0
[2026-04-22T14:56:31.413+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 2436, completion-tokens, 68, total-tokens, 2504, cost-ms, 2480, requestId, 12c299ba-41a9-9866-8e74-32192c7a2c2c, temperature, 0
[2026-04-22T15:00:50.957+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7429, completion-tokens, 131, total-tokens, 7560, cost-ms, 4693, requestId, 49006e91-432c-9637-ad52-a8a65e863173, temperature, 0
[2026-04-22T15:00:58.006+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7647, completion-tokens, 129, total-tokens, 7776, cost-ms, 4117, requestId, e91b5124-d560-92f1-89d2-04cf0807167d, temperature, 0
[2026-04-22T15:01:06.056+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7874, completion-tokens, 130, total-tokens, 8004, cost-ms, 4761, requestId, ecdf55bc-b7fc-9893-9702-fb42eec63c18, temperature, 0
[2026-04-22T15:01:12.190+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 8110, completion-tokens, 86, total-tokens, 8196, cost-ms, 3329, requestId, e85f3f09-ad62-9f00-8c48-8c0993aa955b, temperature, 0
[2026-04-22T15:01:19.420+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 2433, completion-tokens, 81, total-tokens, 2514, cost-ms, 3979, requestId, b6c00d88-6e20-9257-8fad-31fbf9d9eaac, temperature, 0
[2026-04-22T15:01:24.882+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7431, completion-tokens, 140, total-tokens, 7571, cost-ms, 5223, requestId, 7dff0462-f3aa-9a95-8538-f45e83a1b265, temperature, 0
[2026-04-22T15:01:31.124+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7655, completion-tokens, 76, total-tokens, 7731, cost-ms, 3413, requestId, 49314ae9-48fd-9a02-9d2c-611aec58ab7e, temperature, 0
[2026-04-22T15:01:36.538+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 2436, completion-tokens, 65, total-tokens, 2501, cost-ms, 2188, requestId, 2a1133a7-7173-92fc-8ea1-0e1727b1e3d5, temperature, 0
[2026-04-22T15:01:40.700+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7435, completion-tokens, 94, total-tokens, 7529, cost-ms, 3928, requestId, f77826dd-3695-9c27-a920-c713e6ec3d83, temperature, 0
[2026-04-22T15:22:00.231+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7429, completion-tokens, 129, total-tokens, 7558, cost-ms, 5356, requestId, 7996cdb8-680e-9de1-901a-6977ce3fa57a, temperature, 0
[2026-04-22T15:22:05.388+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7645, completion-tokens, 93, total-tokens, 7738, cost-ms, 3791, requestId, a08535f0-247f-9359-83b7-b9985959f748, temperature, 0
[2026-04-22T15:22:11.837+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7837, completion-tokens, 124, total-tokens, 7961, cost-ms, 5113, requestId, 3f6d39ee-a340-9d6b-a4cb-e0b5172b9c9a, temperature, 0
[2026-04-22T15:22:19.329+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 8068, completion-tokens, 81, total-tokens, 8149, cost-ms, 4578, requestId, d03e7546-9e9f-9ba8-a9a5-b15418054b1d, temperature, 0
[2026-04-22T15:22:27.485+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 2433, completion-tokens, 106, total-tokens, 2539, cost-ms, 4886, requestId, b83c69b7-6ee8-9d2e-881c-1f7f0a663962, temperature, 0
[2026-04-22T15:22:33.721+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7431, completion-tokens, 144, total-tokens, 7575, cost-ms, 5999, requestId, 29f84ffd-5d72-9a01-b36f-520eb0d2f147, temperature, 0
[2026-04-22T15:22:41.601+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7659, completion-tokens, 101, total-tokens, 7760, cost-ms, 5011, requestId, 88b10967-d7bd-972d-81c3-e386a19976a0, temperature, 0
[2026-04-22T15:22:47.906+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 2436, completion-tokens, 81, total-tokens, 2517, cost-ms, 3044, requestId, b57cc4ac-edbe-924e-81c5-3f9a20f334c9, temperature, 0
[2026-04-22T15:22:51.852+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7435, completion-tokens, 92, total-tokens, 7527, cost-ms, 3703, requestId, 62bb7255-364f-9efa-b98c-c36f98a02acf, temperature, 0
[2026-04-22T15:23:03.208+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 2442, completion-tokens, 97, total-tokens, 2539, cost-ms, 8090, requestId, 33e5fb42-c189-9827-bbb7-585b89b26048, temperature, 0
[2026-04-22T15:24:13.135+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7429, completion-tokens, 140, total-tokens, 7569, cost-ms, 8002, requestId, da1e1bbe-a554-9a16-8463-8a0113dd3b0d, temperature, 0
[2026-04-22T15:24:20.066+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7658, completion-tokens, 116, total-tokens, 7774, cost-ms, 4674, requestId, 5ce1649e-497a-9862-82bd-9e9cc6631d01, temperature, 0
[2026-04-22T15:24:26.625+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7871, completion-tokens, 87, total-tokens, 7958, cost-ms, 3738, requestId, 96953783-67e9-959e-b851-65d6b414a604, temperature, 0
[2026-04-22T15:24:33.142+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 2433, completion-tokens, 75, total-tokens, 2508, cost-ms, 3249, requestId, 2d3c7b22-a6c5-9a96-99ba-df52af03f0b2, temperature, 0
[2026-04-22T15:30:46.867+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7429, completion-tokens, 127, total-tokens, 7556, cost-ms, 5158, requestId, b8e5eb3f-88e2-9293-b184-8fb7e91faf95, temperature, 0
[2026-04-22T15:30:53.807+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7643, completion-tokens, 92, total-tokens, 7735, cost-ms, 3163, requestId, 2c1f3b5a-87d9-9292-a5aa-d6a4d0bd38fe, temperature, 0
[2026-04-22T15:30:59.279+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7833, completion-tokens, 127, total-tokens, 7960, cost-ms, 3998, requestId, d31e12ce-1cb6-9dd5-b52e-71e49eb8515b, temperature, 0
[2026-04-22T15:31:06.415+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 8066, completion-tokens, 90, total-tokens, 8156, cost-ms, 4133, requestId, 89a167e1-c161-997a-a8c4-356bb28236b6, temperature, 0
[2026-04-22T15:31:16.850+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 2433, completion-tokens, 109, total-tokens, 2542, cost-ms, 7084, requestId, 4cecafd0-bafb-9b63-90a4-e5025aacc1c0, temperature, 0
[2026-04-22T15:31:21.867+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7431, completion-tokens, 148, total-tokens, 7579, cost-ms, 4624, requestId, d891deb0-2332-99a0-831b-7f7515c0768a, temperature, 0
[2026-04-22T15:31:31.665+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7670, completion-tokens, 84, total-tokens, 7754, cost-ms, 6720, requestId, 735e6755-6a6e-9ccb-8a61-3c7519750250, temperature, 0
[2026-04-22T15:31:38.313+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 2436, completion-tokens, 66, total-tokens, 2502, cost-ms, 3116, requestId, 4c81abd2-0f38-9e96-8d8e-46c7bb192cd4, temperature, 0
[2026-04-22T15:31:43.374+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7435, completion-tokens, 99, total-tokens, 7534, cost-ms, 4677, requestId, 43ad498d-f5d2-9623-82e7-2f0da4bae9d3, temperature, 0
[2026-04-22T15:31:50.020+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 2442, completion-tokens, 100, total-tokens, 2542, cost-ms, 3263, requestId, 6bc9c178-bc04-9234-afee-7420f83fe4a3, temperature, 0
[2026-04-22T15:46:48.649+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7429, completion-tokens, 131, total-tokens, 7560, cost-ms, 4641, requestId, 2570ba43-cec3-94d2-af41-f028ec34e407, temperature, 0
[2026-04-22T15:46:53.580+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7647, completion-tokens, 89, total-tokens, 7736, cost-ms, 3839, requestId, 40e883eb-f441-9aa7-b918-57d1e0d5cc29, temperature, 0
[2026-04-22T15:47:00.245+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7833, completion-tokens, 65, total-tokens, 7898, cost-ms, 3194, requestId, 800bf04b-1d72-9abe-984c-34340f27134b, temperature, 0
[2026-04-22T15:47:06.734+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7430, completion-tokens, 161, total-tokens, 7591, cost-ms, 5884, requestId, 61ae02b5-6c40-9702-9d75-f02f0261554c, temperature, 0
[2026-04-22T15:47:11.627+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7682, completion-tokens, 60, total-tokens, 7742, cost-ms, 2546, requestId, 498189f4-b82e-9fd7-a7d6-ffe83a6b579d, temperature, 0
[2026-04-22T15:47:16.127+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7428, completion-tokens, 123, total-tokens, 7551, cost-ms, 3919, requestId, 873c30fa-4eff-9138-92a7-12d83b6fdccc, temperature, 0
[2026-04-22T15:47:21.416+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7635, completion-tokens, 83, total-tokens, 7718, cost-ms, 4183, requestId, c58990f7-bed4-930f-98c6-af186bff5f2b, temperature, 0
[2026-04-22T15:47:24.303+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 2432, completion-tokens, 56, total-tokens, 2488, cost-ms, 2200, requestId, 4f550f0a-fbaf-9eaf-b0d0-5dce09b44797, temperature, 0
[2026-04-22T15:48:21.591+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7430, completion-tokens, 131, total-tokens, 7561, cost-ms, 4638, requestId, f4d17d54-d2e6-94a7-8f2c-319c93ed2cb0, temperature, 0
[2026-04-22T15:48:26.525+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7648, completion-tokens, 77, total-tokens, 7725, cost-ms, 3790, requestId, d81a46f8-219a-977a-a703-c3292ecf8857, temperature, 0
[2026-04-22T15:48:31.567+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7822, completion-tokens, 48, total-tokens, 7870, cost-ms, 2762, requestId, 66da8b20-cbb6-942b-bd84-8659f2cbfa88, temperature, 0
[2026-04-22T15:48:36.378+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7431, completion-tokens, 138, total-tokens, 7569, cost-ms, 4185, requestId, fd8fe211-6b1b-9b95-8892-0d3e0cf852df, temperature, 0
[2026-04-22T15:48:40.870+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7656, completion-tokens, 78, total-tokens, 7734, cost-ms, 3418, requestId, 9de41372-3cbf-9dc5-a9fc-1b8a20cb32cf, temperature, 0
[2026-04-22T15:48:45.948+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7831, completion-tokens, 50, total-tokens, 7881, cost-ms, 2899, requestId, e992939d-6d0a-97b9-b94d-15e41c753569, temperature, 0
[2026-04-22T15:48:50.705+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7428, completion-tokens, 128, total-tokens, 7556, cost-ms, 4092, requestId, 637af2c4-c681-9b58-a811-cbd47af48186, temperature, 0
[2026-04-22T15:48:58.422+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7640, completion-tokens, 100, total-tokens, 7740, cost-ms, 6473, requestId, a735d65c-9452-9b39-b7fe-6a11fc750a77, temperature, 0
[2026-04-22T15:49:02.360+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 2432, completion-tokens, 54, total-tokens, 2486, cost-ms, 3244, requestId, 4ede371c-721a-9bd9-87bc-d54507952be9, temperature, 0
[2026-04-23T11:22:58.311+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7430, completion-tokens, 131, total-tokens, 7561, cost-ms, 5488, requestId, 34ce85b0-ab02-951c-bfc7-931d46ffa295, temperature, 0
[2026-04-23T11:23:02.343+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7648, completion-tokens, 92, total-tokens, 7740, cost-ms, 3018, requestId, b0d538be-d11d-937c-8993-c7d745b7e405, temperature, 0
[2026-04-23T11:23:09.859+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7834, completion-tokens, 72, total-tokens, 7906, cost-ms, 5331, requestId, 586b9593-981f-950d-a411-d77a0424b178, temperature, 0
[2026-04-23T11:23:14.049+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7431, completion-tokens, 128, total-tokens, 7559, cost-ms, 3941, requestId, 5e18e8af-898f-9130-bf0d-35edd71f8831, temperature, 0
[2026-04-23T11:23:17.739+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7646, completion-tokens, 78, total-tokens, 7724, cost-ms, 2712, requestId, 002b5301-0c12-96df-b86a-7ede74b85fce, temperature, 0
[2026-04-23T11:23:22.112+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7821, completion-tokens, 55, total-tokens, 7876, cost-ms, 2303, requestId, e38893d4-9c1e-9c97-96f0-70901f2a9b5e, temperature, 0
[2026-04-23T11:23:26.185+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7428, completion-tokens, 128, total-tokens, 7556, cost-ms, 3822, requestId, d38dabc1-27d0-9ea0-baea-6d0dc9f4d3f7, temperature, 0
